,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.0001238840812264243
16,Operating Expenses,Desalination,0.000585631400210222
17,Operating Expenses,Desalination Fixed O&M Cost,0.002585615864672297
18,Operating Expenses,Cash on hand reserve,0.009247456746286334
19,Operating Expenses,Compression,0.013914660003351977
20,Operating Expenses,Water,0.014063324538258582
21,Operating Expenses,Property insurance,0.05633414800953126
22,Operating Expenses,Hydrogen Storage,0.05784700766900034
23,Operating Expenses,Var O&M,0.06901265171786383
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.13700588310992717
25,Financing cash outflow,Income taxes payable,0.399210554239245
26,Operating Expenses,Wind Plant,0.47984705021559293
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.48452237597671927
28,Financing cash outflow,Repayment of debt,0.5982287599868897
29,Financing cash outflow,Interest expense,0.9651039467883631
30,Operating Expenses,Electrolysis system,1.1255793623045993
31,Financing cash outflow,Dividends paid,1.6028080774848834
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001238840812264243
37,Operating Revenue,Cash on hand recovery,0.009247456746286336
38,Financing cash inflow,Monetized tax losses,0.18324475001916385
39,Financing cash inflow,Inflow of debt,0.5982287599868897
40,Financing cash inflow,Inflow of equity,1.0189005327417027
41,Operating Revenue,Hydrogen sales,4.199205410226198
