,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011786493632838955
16,Operating Expenses,Desalination,0.0008667203675859865
17,Operating Expenses,Desalination Fixed O&M Cost,0.0038266492060714057
18,Operating Expenses,Cash on hand reserve,0.018749260366394183
19,Operating Expenses,Compression,0.020593361675296223
20,Operating Expenses,Water,0.022269129287598964
21,Operating Expenses,Var O&M,0.06620018861455765
22,Operating Expenses,Hydrogen Storage,0.09151271068447503
23,Operating Expenses,Property insurance,0.10766230649349692
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2027654072644551
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.8276155236352701
26,Financing cash outflow,Income taxes payable,0.9052862839815389
27,Operating Expenses,Wind Plant,1.431967324615444
28,Financing cash outflow,Repayment of debt,1.4524314382623782
29,Operating Expenses,Electrolysis system,1.6624418075807958
30,Financing cash outflow,Interest expense,2.337913275071782
31,Financing cash outflow,Dividends paid,3.754908041639056
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011786493632838955
37,Operating Revenue,Cash on hand recovery,0.018749260366394176
38,Financing cash inflow,Monetized tax losses,0.4500997422125147
39,Financing cash inflow,Inflow of debt,1.452431438262378
40,Financing cash inflow,Inflow of equity,2.5242185027820647
41,Operating Revenue,Hydrogen sales,8.461510485122846
