,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Sales tax,0.0
7,Operating Expenses,Credit card fees,0.0
8,Operating Expenses,Road tax,0.0
9,Operating Expenses,Property insurance,0.0
10,Operating Expenses,Non-depreciable assets,0.031467517401392114
11,Operating Expenses,H2 Pre-heating,0.288395741166501
12,Operating Expenses,Raw Water Withdrawal,0.4764879063000002
13,Operating Expenses,Oxygen Supply,0.5145180997333191
14,Operating Expenses,Cooling Tower,0.634074450145194
15,Operating Expenses,Electrical & Instrumentation,1.250904737279174
16,Operating Expenses,Other Miscellaneous Costs,1.2509052359163901
17,Operating Expenses,Piping,1.8763571043307443
18,Operating Expenses,Natural Gas,2.716709262358008
19,Operating Expenses,"Buildings, Storage, Water Service",2.7909366442498666
20,Operating Expenses,Cash on hand reserve,2.9463502116637184
21,Operating Expenses,Lime,3.1531490978224923
22,Operating Expenses,Shaft Furnace,4.178809925347396
23,Operating Expenses,Maintenance Labor Cost,5.284174022170231
24,Operating Expenses,Slag Disposal,6.560037900000004
25,Operating Expenses,EAF & Casting,7.625194709843117
26,Operating Expenses,Maintenance Materials,7.720000000000002
27,Operating Expenses,Installation cost,8.866651833151664
28,Operating Expenses,Property tax and insurance,12.246057988807022
29,Operating Expenses,Carbon,15.572229964837836
30,Financing cash outflow,Repayment of debt,16.993839528579567
31,Operating Expenses,Administrative & Support Labor Cost,21.0850361339867
32,Financing cash outflow,Income taxes payable,21.870470147471686
33,Financing cash outflow,Interest expense,26.31496051000546
34,Operating Expenses,Electricity,57.615399478560015
35,Financing cash outflow,Dividends paid,62.045165381318675
36,Operating Expenses,Annual Operating Labor Cost,79.05597051377657
37,Operating Expenses,Hydrogen,163.871894978944
38,Operating Expenses,Iron Ore,554.7201545355236
39,Operating Revenue,Take or pay revenue,0.0
40,Operating Revenue,Incidental revenue,0.0
41,Operating Revenue,Oxygen sales,0.0
42,Financing cash inflow,One time capital incentive,0.0
43,Financing cash inflow,Annual operating incentives,0.0
44,Operating Revenue,Sale of non-depreciable assets,0.031467517401392114
45,Operating Revenue,Cash on hand recovery,2.946350211663719
46,Financing cash inflow,Monetized tax losses,6.094045537376288
47,Financing cash inflow,Inflow of debt,16.993839528579567
48,Financing cash inflow,Inflow of equity,28.257039564953146
49,Operating Revenue,Steel sales,1035.2335612007162
